t_stagein  tot_cpu  tot_wall  tfull t_istn  t_kffpar  t_kffdar
      7    17886    18162   0.9573   0.6476   0.2744   0.0156
      6    18911    19049   1.0059   0.6892   0.2883   0.0093
      7    18008    18359   0.9503   0.6386   0.2739   0.0175
      8    18926    19201   1.0004   0.6776   0.2912   0.0118
     13    16360    16514   0.8720   0.5919   0.2520   0.0112
      3    16202    16388   0.8577   0.5814   0.2476   0.0123
      8    17395    17464   0.9182   0.6291   0.2656   0.0073
      4    14508    14616   0.7710   0.5231   0.2248   0.0089
      4    16409    16598   0.8661   0.5895   0.2476   0.0118
      5    14682    14961   0.7908   0.5313   0.2275   0.0154
      6    18283    18490   0.9765   0.6624   0.2829   0.0126
      7    18023    18370   0.9605   0.6477   0.2747   0.0178
     12    19214    19561   1.0281   0.6924   0.2952   0.0183
      7    16866    16985   0.8875   0.6044   0.2567   0.0091
     12    16783    16886   0.8870   0.6047   0.2571   0.0083
      6    12310    12342   0.6478   0.4440   0.1872   0.0053
     14    16774    16926   0.8912   0.6080   0.2591   0.0073
     18    13476    13588   0.7140   0.4843   0.2075   0.0088
      5    13140    13294   0.6951   0.4732   0.1992   0.0093
      3    12752    12810   0.6810   0.4641   0.1983   0.0065
      3    14408    14453   0.7553   0.5138   0.2229   0.0057
     12    17018    17144   0.8935   0.6106   0.2589   0.0076
      9    12876    13015   0.6808   0.4627   0.1953   0.0096
      3    12949    13007   0.6814   0.4642   0.1986   0.0065
     18    13070    13080   0.6801   0.4650   0.1986   0.0047
      6    14190    14286   0.7496   0.5075   0.2213   0.0075
      7    16850    16972   0.8903   0.6095   0.2545   0.0094
      7    18469    18752   0.9744   0.6564   0.2842   0.0142
      4    13269    13404   0.6997   0.4767   0.2000   0.0095
     20    12159    12640   0.6552   0.4385   0.1865   0.0149
      7    16821    16982   0.8874   0.6031   0.2561   0.0107
     18    13766    13874   0.7317   0.4963   0.2129   0.0089
     16    17761    18366   0.9503   0.6409   0.2734   0.0165
      7    19873    20032   1.0373   0.7057   0.3040   0.0088
      5    16805    16940   0.8875   0.6064   0.2539   0.0099
      4    11863    11893   0.6271   0.4290   0.1821   0.0052
      6    13842    13926   0.7275   0.4959   0.2118   0.0068
      6    16573    16621   0.8748   0.6003   0.2519   0.0064
      7    17387    17631   0.9257   0.6227   0.2703   0.0142
      6    18278    18399   0.9643   0.6552   0.2810   0.0102
